"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x267784293","x1374011300599193604",2021-03-22 14:53:16,"marioraulnegri","¡Estupenda charla en Córdoba con mi querida @mariuvidal!
Estamos convencidos de fortalecer Juntos por el Cambio porque la sociedad nos pide ganarle al kirchnerismo y frenar el avasallamiento de la República. 
Un país fuerte precisa instituciones firmes. https://t.co/eztS3nnFuP","Twitter for Android",253,,,,FALSE,FALSE,2276,425,,,,,,,,"http://pbs.twimg.com/media/ExF3_vhXEAYn9v6.jpg","https://t.co/eztS3nnFuP","https://twitter.com/marioraulnegri/status/1374011300599193604/photo/1","photo","http://pbs.twimg.com/media/ExF3_vhXEAYn9v6.jpg","https://t.co/eztS3nnFuP","https://twitter.com/marioraulnegri/status/1374011300599193604/photo/1",,"x109040582","mariuvidal","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/marioraulnegri/status/1374011300599193604","Mario Raúl Negri","Córdoba, Argentina","Diputado Nacional - Córdoba - Presidente del Bloque UCR y del Interbloque Juntos por el Cambio.","https://t.co/fiAkvRtEc1",FALSE,195623,1125,396,15749,10351,2011-03-17 14:47:45,TRUE,"https://t.co/fiAkvRtEc1","http://www.marionegri.com.ar",,"https://pbs.twimg.com/profile_banners/267784293/1572374020","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1042446986371321858/ZVKQC5TA_normal.jpg"
"x133398816","x1372933981482651649",2021-03-19 15:32:23,"diegobranca","Asique @mauriciomacri le pidió a @mariuvidal q no le pague los aguinaldos a los empleados de su provincia (Docentes, policías, etc) por revanchismo político?

Eso es LO QUE ÉL CUENTA en su libro sin ponerse colorado.

IMAGINENSE las cosas que hizo y que no publicó.

Siniestro.","Twitter for Android",277,,,,FALSE,FALSE,1377,464,,,,,,,,,,,,,,,,"x24900072 x109040582","mauriciomacri mariuvidal","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/diegobranca/status/1372933981482651649","Diego Brancatelli","África Oeste - ITUZAINGÓ- ARG","PERIODISTA. Siempre del lado del Pueblo. Vice Presidente 1° del Club Atlético ITUZAINGO. Intratables. POP 101.5
En Pilar junto a Federico ACHAVAL",,FALSE,393149,2041,621,38897,9395,2010-04-15 17:43:12,TRUE,,,,"https://pbs.twimg.com/profile_banners/133398816/1604143659","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1242821419639148545/MsA0rNfC_normal.jpg"
