"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x404247722","x1374533937373048832",2021-03-24 01:30:02,"MarianaZuvic","LA VERDAD SIEMPRE TRIUNFA 
Luego de dos largos años de toda clase de persecuciones, difamaciones y ataques, se cae la OPERACIÓN PUF montada para intentar eliminar la causa cuadernos. Abrazo a @elisacarrio y @pau_oliveto #LawFare <U+0001F449><U+0001F3FC>https://t.co/gPqGpJJYt8","Twitter for iPhone",254,,,,FALSE,FALSE,1834,838,,,"LawFare",,"clarin.com/politica/camar…","https://t.co/gPqGpJJYt8","https://www.clarin.com/politica/camara-federal-porteno-desarchivo-causa-operativo-puf-k-buscaron-anular-cuadernos-coimas_0_9H5RO60FU.html",,,,,,,,,"x1578961946 x380741459","elisacarrio pau_oliveto","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MarianaZuvic/status/1374533937373048832","Mariana Zuvic","Ciudad Autónoma de Buenos Aire","Diputada nacional por la Ciudad Autónoma de Buenos Aires. CC-ARI Cambiemos. Nuestro desafío es terminar con la impunidad en la Argentina.","https://t.co/lSKrfV1oyS",FALSE,227017,248,446,21550,22277,2011-11-03 17:08:15,TRUE,"https://t.co/lSKrfV1oyS","https://instagram.com/mariana.zuvic",,"https://pbs.twimg.com/profile_banners/404247722/1572352652","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1183597288641437697/ryBknxIH_normal.jpg"
"x201825904","x1374532108715139075",2021-03-24 01:22:46,"JnmLopez","Gran noticia! Desagravio para  @elisacarrio @MarianaZuvic y @pau_oliveto, que se investigue el operativo puff de la impunidad. 
Lástima que el juez Ramos Padilla recibió su pago pasando a ser el juez que garantizará la impunidad desde lo electoral. 
https://t.co/I4gos6yhxR","Twitter for iPhone",273,,,,FALSE,FALSE,486,233,,,,,"clar.in/3d4wUev?fromRe…","https://t.co/I4gos6yhxR","https://clar.in/3d4wUev?fromRef=twitter",,,,,,,,,"x1578961946 x404247722 x380741459","elisacarrio MarianaZuvic pau_oliveto","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JnmLopez/status/1374532108715139075","Juan Manuel López","Argentina","Diputado Nacional - Presidente del bloque Coalición Cívica - Abogado.","https://t.co/QofLk36NAG",FALSE,22632,604,73,8941,8335,2010-10-12 18:14:21,TRUE,"https://t.co/QofLk36NAG","https://www.instagram.com/jnmlopez/",,"https://pbs.twimg.com/profile_banners/201825904/1502732254","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1213486525155028998/nE-XsEfp_normal.jpg"
"x154184640","x1373324476742574083",2021-03-20 17:24:05,"Maxiferraro","Con @elisacarrio y @MonicaFradeok conversamos sobre nuestro último viaje a Formosa. Vamos a seguir acompañando al pueblo formoseño, víctima del régimen de Insfrán. https://t.co/KHSsZfJg2k","Twitter for iPhone",163,,,,FALSE,FALSE,480,118,,,,,,,,"http://pbs.twimg.com/media/Ew8HVALWYAAA3rZ.jpg","https://t.co/KHSsZfJg2k","https://twitter.com/Maxiferraro/status/1373324476742574083/photo/1","photo","http://pbs.twimg.com/media/Ew8HVALWYAAA3rZ.jpg","https://t.co/KHSsZfJg2k","https://twitter.com/Maxiferraro/status/1373324476742574083/photo/1",,"x1578961946 x937301562","elisacarrio MonicaFradeok","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Maxiferraro/status/1373324476742574083","maxi ferraro","Ciudad de Buenos Aires","Presidente Coalición Cívica ARI. Diputado Nacional por la Ciudad de Buenos Aires. Coordinador de @junglacultural <U+0001F30E><U+0001F6B2><U+267B><U+FE0F> <U+0001F333><U+0001F3F3><U+FE0F><U+200D><U+0001F308> <U+0001F1E6><U+0001F1F7>",,FALSE,36659,3455,187,13384,14313,2010-06-10 16:02:22,TRUE,,,,"https://pbs.twimg.com/profile_banners/154184640/1567436042","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1277744675840032770/XlHZXOqL_normal.jpg"
"x1449695318","x1374362586284720133",2021-03-23 14:09:09,"ceciliaferrero_","En el 2004, @elisacarrio y la @ccari_ok denunciaba a Julio De Vido como “el cajero” de los Kirchner. Otro ejemplo: Soterramiento del Sarmiento = Coimas.
https://t.co/43iTiN2iAI","Twitter for iPhone",176,,,,FALSE,FALSE,40,26,,,,,"lanacion.com.ar/politica/soter…","https://t.co/43iTiN2iAI","https://www.lanacion.com.ar/politica/soterramiento-del-sarmiento-llegaron-las-evidencias-desde-brasil-sobre-las-coimas-que-involucran-a-nid23032021/",,,,,,,,,"x1578961946 x485988630","elisacarrio ccari_ok","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ceciliaferrero_/status/1374362586284720133","Cecilia Ferrero","Ciudad Autónoma de Buenos Aire","Diputada en @LegisCABA • Bloque @VamosJuntos • Abogada (UBA) • Apoderada Nacional Coalición Cívica ARI @ccari_ok.","https://t.co/XwArPjiHiS",FALSE,2774,1279,25,3838,26061,2013-05-22 19:11:28,TRUE,"https://t.co/XwArPjiHiS","https://linktr.ee/ceciliaferrero",,"https://pbs.twimg.com/profile_banners/1449695318/1609190180","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1237490596140462080/WIClhpM6_normal.jpg"
